57|12250000|14700000|10340000|11025000|20500000|24000000|17625000|14100000|14937500|24000000
58|12500000|15000000|10560000|11250000|21000000|24500000|18000000|14400000|15250000|24500000
59|12750000|15300000|10780000|11475000|21500000|25000000|18375000|14700000|15562500|25000000
60|13000000|15600000|11000000|11700000|22000000|25500000|18750000|15000000|15875000|25500000
61|13250000|15900000|11220000|11925000|22500000|26000000|19125000|15300000|16187500|26000000
62|13500000|16200000|11440000|12150000|23000000|26500000|19500000|15600000|16500000|26500000
63|13750000|16500000|11660000|12375000|23500000|27000000|19875000|15900000|16812500|27000000
64|14000000|16800000|11880000|12600000|24000000|27500000|20250000|16200000|17125000|27500000
65|14250000|17100000|12100000|12825000|24500000|28000000|20625000|16500000|17437500|28000000
66|14500000|17400000|12320000|13050000|25000000|28500000|21000000|16800000|17750000|28500000
67|14750000|17700000|12540000|13275000|25500000|29000000|21375000|17100000|18062500|29000000
68|15000000|18000000|12760000|13500000|26000000|29500000|21750000|17400000|18375000|29500000
69|15250000|18300000|12980000|13725000|26500000|30000000|22125000|17700000|18687500|30000000
70|15500000|18600000|13200000|13950000|27000000|30500000|22500000|18000000|19000000|30500000
71|15750000|18900000|13420000|14175000|27500000|31000000|22875000|18300000|19312500|31000000
72|16000000|19200000|13640000|14400000|28000000|31500000|23250000|18600000|19625000|31500000
73|16250000|19500000|13860000|14625000|28500000|32000000|23625000|18900000|19937500|32000000
74|16500000|19800000|14080000|14850000|29000000|32500000|24000000|19200000|20250000|32500000
75|16750000|20100000|14300000|15075000|29500000|33000000|24375000|19500000|20562500|33000000
76|17000000|20400000|14520000|15300000|30000000|33500000|24750000|19800000|20875000|33500000
77|17250000|20700000|14740000|15525000|30500000|34000000|25125000|20100000|21187500|34000000
78|17500000|21000000|14960000|15750000|31000000|34500000|25500000|20400000|21500000|34500000
79|17750000|21300000|15180000|15975000|31500000|35000000|25875000|20700000|21812500|35000000
80|18000000|21600000|15400000|16200000|32000000|35500000|26250000|21000000|22125000|35500000
81|18250000|21900000|15620000|16425000|32500000|36000000|26625000|21300000|22437500|36000000
82|18500000|22200000|15840000|16650000|33000000|36500000|27000000|21600000|22750000|36500000
83|18750000|22500000|16060000|16875000|33500000|37000000|27375000|21900000|23062500|37000000
84|19000000|22800000|16280000|17100000|34000000|37500000|27750000|22200000|23375000|37500000
85|19250000|23100000|16500000|17325000|34500000|38000000|28125000|22500000|23687500|38000000
86|19500000|23400000|16720000|17550000|35000000|38500000|28500000|22800000|24000000|38500000
87|19750000|23700000|16940000|17775000|35500000|39000000|28875000|23100000|24312500|39000000
88|20000000|24000000|17160000|18000000|36000000|39500000|29250000|23400000|24625000|39500000
89|20250000|24300000|17380000|18225000|36500000|40000000|29625000|23700000|24937500|40000000
90|20500000|24600000|17600000|18450000|37000000|40500000|30000000|24000000|25250000|40500000
91|20750000|24900000|17820000|18675000|37500000|41000000|30375000|24300000|25562500|41000000
92|21000000|25200000|18040000|18900000|38000000|41500000|30750000|24600000|25875000|41500000
93|21250000|25500000|18260000|19125000|38500000|42000000|31125000|24900000|26187500|42000000
94|21500000|25800000|18480000|19350000|39000000|42500000|31500000|25200000|26500000|42500000
95|21750000|26100000|18700000|19575000|39500000|43000000|31875000|25500000|26812500|43000000
96|22000000|26400000|18920000|19800000|40000000|43500000|32250000|25800000|27125000|43500000
97|22250000|26700000|19140000|20025000|40500000|44000000|32625000|26100000|27437500|44000000
98|22500000|27000000|19360000|20250000|41000000|44500000|33000000|26400000|27750000|44500000
99|22750000|27300000|19580000|20475000|41500000|45000000|33375000|26700000|28062500|45000000
100|23000000|27600000|19800000|20700000|42000000|45500000|33750000|27000000|28375000|45500000
